Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.20      99/888         ask_question [18]
-----------------------------------------------
                0.09    0.10  157501/157501      do_move [15]
[46]     1.6    0.09    0.10  157501         get_moveto_page [46]
                0.05    0.05  496049/542640      has_room [48]
                0.00    0.00    6999/772853      is_active [67]
                0.00    0.00    2294/2373        make_active [95]
-----------------------------------------------
                0.12    0.01  115360/115360      page_alloc_struct [44]
[47]     1.1    0.12    0.01  115360         set_format_vector [47]
                0.01    0.00  115360/9330239     is_little_end [26]
-----------------------------------------------
                0.00    0.01   46591/542640      get_alloc_page [70]
                0.05    0.05  496049/542640      get_moveto_page [46]
[48]     0.9    0.05    0.06  542640         has_room [48]
                0.05    0.00  477696/640297      avail_space_page [51]
                0.01    0.00  542640/772853      is_active [67]
-----------------------------------------------
                0.00    0.10      51/51          TUI_inventory_replenish_stock [12]
[49]     0.8    0.00    0.10      51         ioopm_ask_new_shelf [49]
                0.00    0.10      51/888         ask_question [18]
-----------------------------------------------
                0.00    0.10      51/51          TUI_inventory_replenish_stock [12]
[50]     0.8    0.00    0.10      51         ioopm_ask_question_u_int [50]
                0.00    0.10      51/150         ask_question_u_int [37]
-----------------------------------------------
                0.02    0.00  162601/640297      alloc_mem_block [53]
                0.05    0.00  477696/640297      has_room [48]
[51]     0.6    0.07    0.00  640297         avail_space_page [51]
-----------------------------------------------
                0.00    0.00     589/47241       h_alloc_data_internal [75]
                0.02    0.05   46652/47241       do_move [15]
[52]     0.6    0.02    0.05   47241         page_alloc_data [52]
                0.03    0.00   47241/47241       set_data_size [61]
                0.01    0.01   47241/162601      alloc_mem_block [53]
                0.00    0.00   47241/162601      alloc_metadata [78]
-----------------------------------------------
                0.01    0.01   47241/162601      page_alloc_data [52]
                0.03    0.01  115360/162601      page_alloc_struct [44]
[53]     0.5    0.04    0.02  162601         alloc_mem_block [53]
                0.02    0.00  162601/640297      avail_space_page [51]
                0.00    0.00  162601/162601      set_bit_alloc_map [79]
-----------------------------------------------
                0.00    0.05       1/1           ioopm_inventory_load [55]
[54]     0.4    0.00    0.05       1         ioopm_inventory_create [54]
                0.00    0.05       1/1           ioopm_hash_table_create_spec [56]
                0.00    0.00       1/201         ioopm_linked_list_create [31]
                0.00    0.00       1/4511        h_alloc_struct [5]
                0.00    0.00       1/1           get_password [121]
-----------------------------------------------
                0.00    0.05       1/1           main [1]
[55]     0.4    0.00    0.05       1         ioopm_inventory_load [55]
                0.00    0.05       1/1           ioopm_inventory_create [54]
-----------------------------------------------
                0.00    0.05       1/1           ioopm_inventory_create [54]
